Villes/Villes,Ville 1,Ville 2,Ville 3,Ville 4,Ville 5,Ville 6,Ville 7,Ville 8,Ville 9,Ville 10,Ville 11,Ville 12,Ville 13,Ville 14,Ville 15,Ville 16,Ville 17,Ville 18,Ville 19,Ville 20,Ville 21,Ville 22,Ville 23,Ville 24,Ville 25,Ville 26,Ville 27,Ville 28,Ville 29,Ville 30,Ville 31,Ville 32,Ville 33,Ville 34,Ville 35,Ville 36,Ville 37,Ville 38,Ville 39,Ville 40,Ville 41,Ville 42,Ville 43,Ville 44,Ville 45,Ville 46,Ville 47,Ville 48,Ville 49,Ville 50,Ville 51,Ville 52,Ville 53,Ville 54,Ville 55,Ville 56,Ville 57,Ville 58,Ville 59,Ville 60,Ville 61,Ville 62,Ville 63,Ville 64,Ville 65,Ville 66,Ville 67,Ville 68,Ville 69,Ville 70,Ville 71,Ville 72,Ville 73,Ville 74,Ville 75,Ville 76,Ville 77,Ville 78,Ville 79,Ville 80,Ville 81,Ville 82,Ville 83,Ville 84,Ville 85,Ville 86
Ville 21,26.78,30.6,67.06,55.42,51.46,28.42,39.86,26.94,39.43,50.96,42.62,62.72,42.62,13.34,51.58,32.24,56.07,69.86,31.07,31.82,0.0,24.56,22.1,43.6,42.71,66.56,23.98,29.76,30.46,17.13,24.56,24.8,47.33,46.94,30.55,59.39,47.21,2.01,83.27,17.01,63.53,50.79,24.83,65.92,29.55,23.38,82.92,26.51,68.23,14.86,36.08,24.83,64.61,23.46,14.15,6.08,57.38,49.88,61.92,26.6,28.19,51.03,46.43,30.25,26.91,27.1,45.52,39.75,50.55,40.12,33.75,28.66,14.18,17.74,42.75,10.97,47.99,46.94,36.46,89.11,46.18,38.8,42.53,49.87,5.54,27.21
Ville 22,14.49,45.09,31.39,29.84,25.16,15.63,10.16,2.76,35.18,24.66,35.98,36.42,35.98,18.97,25.28,28.76,44.7,39.22,45.02,28.35,25.04,0.0,35.72,36.96,36.07,40.26,9.38,34.32,7.24,33.16,0.0,19.49,19.92,7.08,45.04,25.09,19.8,24.03,48.11,16.15,31.33,24.5,10.4,33.72,5.38,9.8,47.76,1.88,41.93,23.2,5.63,10.4,53.34,7.55,24.03,18.56,25.23,23.7,34.53,12.17,28.09,24.73,24.64,44.74,13.27,14.01,13.07,10.04,23.14,38.88,4.12,15.87,16.07,16.74,36.11,25.56,16.83,7.08,31.62,104.45,28.4,21.01,24.75,22.43,27.79,13.94
Ville 23,31.3,17.77,68.81,59.94,58.84,32.94,47.24,39.52,31.34,58.34,44.21,70.1,44.66,17.79,58.96,31.34,60.59,76.64,16.6,31.22,23.7,37.14,0.0,48.12,44.58,68.4,28.5,18.03,37.84,6.84,37.14,28.0,54.71,47.76,17.73,62.51,54.59,19.81,76.74,21.53,68.76,58.17,29.35,71.15,42.13,33.62,85.18,37.84,70.96,14.93,41.65,29.35,65.63,30.54,13.83,25.3,62.65,68.49,71.96,31.12,21.01,58.41,65.04,17.42,31.43,31.62,50.46,47.13,57.93,28.38,41.13,33.18,35.9,36.36,43.93,10.25,55.36,47.76,40.98,78.07,64.8,57.41,61.14,57.25,15.01,31.73
Ville 24,28.71,44.71,33.44,15.1,15.23,15.43,19.95,30.36,23.85,13.89,3.28,23.76,3.28,31.36,13.65,15.76,12.47,45.05,44.65,16.05,44.09,36.0,48.12,0.0,3.37,20.28,33.47,33.94,25.37,40.29,36.0,20.96,17.07,30.89,44.67,38.26,19.32,40.04,30.75,27.24,40.23,14.08,20.57,42.73,33.49,45.79,41.32,37.5,22.84,35.6,37.45,20.57,21.01,31.73,36.43,47.9,38.4,45.44,47.71,19.96,27.72,13.96,46.38,44.36,18.41,28.23,33.59,20.01,20.41,31.04,28.65,14.99,45.42,46.08,3.41,37.96,23.2,30.89,9.57,76.3,50.14,42.76,46.49,22.85,42.33,28.16
Ville 25,28.02,42.58,37.01,18.69,18.8,14.73,21.57,29.67,21.1,17.45,0.26,27.35,0.34,30.67,17.21,13.63,16.06,48.62,42.52,13.92,43.4,35.31,44.66,3.59,0.0,23.87,32.77,31.81,24.67,38.16,35.31,20.27,19.36,30.19,42.54,44.94,21.64,39.35,34.34,26.54,51.19,17.65,19.88,53.58,32.79,45.09,44.89,36.8,26.43,34.65,36.76,19.88,21.89,31.03,35.74,47.21,45.08,44.75,54.39,19.26,25.59,17.52,45.68,42.23,17.71,27.54,32.89,21.62,23.98,28.29,27.96,14.29,44.72,45.38,0.43,37.26,24.81,30.19,8.88,73.55,49.45,42.06,45.79,25.17,41.63,27.47
Ville 26,40.85,64.94,32.34,14.51,15.5,35.52,30.51,37.85,44.08,16.56,23.5,7.63,23.51,51.45,17.32,35.98,8.43,41.04,64.87,36.27,66.81,40.13,68.21,20.29,23.59,0.0,45.9,54.17,37.44,60.51,40.13,41.13,20.33,37.92,64.89,36.49,22.0,60.13,12.03,47.33,39.76,16.4,42.59,42.27,42.89,58.22,22.81,40.53,4.12,55.69,42.7,42.59,12.34,44.16,56.52,60.33,37.7,45.44,44.85,43.36,47.94,16.63,45.98,64.59,38.5,40.37,40.83,30.57,20.03,51.26,36.14,35.21,57.85,58.51,23.64,58.05,27.86,37.92,29.8,86.6,48.7,51.79,55.53,27.21,62.42,40.3
Ville 27,4.78,36.54,41.34,41.03,31.37,8.06,19.77,12.04,26.63,30.87,32.94,42.62,32.94,11.74,31.49,20.21,41.66,49.17,36.48,19.8,23.4,9.67,28.49,33.92,33.03,46.46,0.0,25.77,10.37,25.93,9.67,10.94,27.23,20.29,36.5,35.04,27.11,20.42,49.27,7.61,41.28,30.7,2.83,43.67,14.66,14.81,57.71,11.17,48.14,15.97,14.91,2.83,50.3,2.18,16.8,16.93,35.18,34.84,44.48,4.6,19.55,30.94,35.78,36.19,5.7,5.1,22.98,19.65,30.46,30.33,13.65,8.3,14.44,15.1,33.07,18.33,27.89,20.29,28.58,101.41,39.54,32.15,35.89,29.78,22.7,5.21
Ville 28,28.57,10.77,66.09,49.05,49.06,24.76,44.52,36.79,14.74,47.72,31.42,57.71,31.87,19.55,47.47,18.55,46.42,73.92,10.7,18.43,30.18,34.42,18.89,33.95,31.79,54.22,25.77,0.0,35.11,12.5,34.42,19.01,51.98,45.04,10.73,59.79,51.86,26.29,64.7,21.78,66.03,47.91,26.62,68.42,39.41,39.56,82.45,35.92,56.79,17.59,39.66,26.62,52.84,27.82,18.54,30.05,59.92,59.59,69.23,28.4,6.23,47.79,60.53,10.42,27.51,28.9,47.73,44.4,55.21,10.44,38.4,25.03,39.19,42.83,31.14,20.78,52.64,45.04,30.69,65.85,64.29,56.9,60.64,54.52,28.57,29.0
Ville 29,5.4,46.16,32.77,31.99,22.33,11.6,7.94,5.18,29.33,21.83,24.37,33.58,24.38,21.35,22.45,30.27,32.62,40.6,46.09,30.56,31.36,7.46,38.1,25.35,24.46,37.42,10.45,35.38,0.0,35.54,7.46,13.63,18.19,11.72,46.11,26.47,18.07,30.03,40.23,17.22,32.72,21.66,7.14,35.11,7.63,22.77,49.14,7.86,39.1,25.58,10.04,7.14,41.26,8.71,26.42,24.89,26.61,26.27,35.92,7.91,29.16,21.9,27.21,45.8,9.16,4.92,14.42,7.82,21.42,33.03,3.48,11.84,22.4,23.06,24.5,27.94,18.85,11.72,20.01,92.85,30.98,23.59,27.32,20.74,32.31,4.85
Ville 30,29.86,13.82,67.38,58.5,57.41,31.51,45.8,38.08,26.3,56.9,37.65,68.66,38.1,16.36,57.52,24.78,52.66,75.2,14.3,24.66,18.21,35.71,6.82,40.18,38.02,60.46,27.06,12.99,36.4,0.0,35.71,21.44,53.27,46.33,13.78,61.08,53.15,14.32,75.31,20.1,67.32,56.74,27.91,69.71,40.7,36.49,83.74,36.4,63.03,13.5,49.2,27.91,59.08,29.11,12.4,19.81,61.21,63.0,70.52,29.69,12.95,56.97,59.55,13.47,29.99,30.19,49.02,45.69,56.5,23.34,39.69,31.74,30.41,30.86,37.37,8.81,53.93,46.33,39.54,72.34,59.3,51.92,55.65,55.81,16.6,30.29
