"0,0",14.47:18,39.2:44,17.93:14,15.08:15,36.38:32,45.05:41,24.53:24,10.11:12,2.69:5,9.31:9
14.15:18,"0,0",28.56:31,24.99:28,21.02:21,51.67:45,51.98:54,40.1:37,22.37:25,12.2:14,13.4:16
39.27:44,28.6:30,"0,0",50.11:54,46.62:49,76.79:71,63.55:70,65.23:63,47.5:51,37.32:41,38.52:42
19.19:14,23.72:28,49.77:54,"0,0",5.1:8,28.29:30,54.55:44,19.43:24,3.24:5,20.93:18,12.3:17
15.93:16,21.0:21,46.45:49,5.31:8,"0,0",31.65:34,48.6:50,22.69:28,3.02:6,11.83:15,8.98:13
37.54:31,53.19:43,77.92:69,29.42:29,32.54:33,"0,0",43.37:42,17.41:17,29.86:28,39.28:34,40.55:33
44.6:40,52.3:54,63.53:70,54.43:45,48.86:50,41.88:43,"0,0",30.47:35,46.18:45,46.34:44,47.91:44
24.17:24,40.12:37,64.86:63,19.5:24,22.26:28,17.17:17,30.48:35,"0,0",19.58:23,25.92:27,27.48:27
10.42:13,21.2:25,47.25:51,3.14:5,3.03:6,28.98:29,46.28:45,20.01:23,"0,0",12.16:16,9.78:14
2.78:5,12.11:14,36.85:40,19.96:17,11.79:15,38.41:36,47.08:44,26.56:27,12.15:16,"0,0",2.29:7
5.28:10,13.73:16,38.46:42,12.47:18,8.98:13,39.86:36,48.82:45,28.3:28,9.86:15,3.33:7,"0,0"
