27.89:21,42.33:48,36.88:39,18.56:20,18.67:21,14.6:17,21.44:20,29.54:26,20.84:22,17.33:18,0:0,27.22:30,0.45:1,30.54:35,17.08:18,13.37:14,15.94:17,48.49:49,42.26:47,13.66:15,43.27:47,35.18:27,44.4:51,3.46:4,0.37:1,23.74:25,32.64:23,31.56:35,24.54:19,37.9:44,35.18:27,22.37:24,19.23:20,30.06:23,42.28:47,44.82:37,21.51:22,39.22:42,34.21:38,26.41:30,51.06:40,17.52:19,19.75:25,53.45:45,32.66:25,44.96:33,44.76:44,36.67:30,26.31:26,34.39:39,36.63:29,19.75:25,21.99:24,30.91:24,35.61:40,47.08:36,44.95:35,44.62:36,54.26:43,19.13:26,25.33:28,17.4:18,45.55:38,41.98:47,17.58:23,27.41:21,32.76:25,21.49:21,23.85:26,28.03:28,27.83:23,14.16:16,44.59:33,45.25:35,0.18:0,37.13:40,24.69:23,30.06:23,8.75:10,73.29:64,49.32:37,41.93:31,45.66:35,25.04:27,41.5:45,27.34:21
37.03:38,68.5:76,24.73:21,11.29:13,11.68:12,35.51:38,26.69:29,34.02:41,47.63:51,12.74:14,27.06:30,0:0,27.07:30,52.97:51,13.5:16,39.54:42,11.58:14,33.43:32,68.43:75,39.83:43,62.99:63,36.3:45,69.73:70,23.85:25,27.15:30,7.63:9,42.07:41,57.72:62,33.61:35,67.17:64,36.3:45,41.12:46,16.51:19,34.09:39,68.45:75,33.57:27,18.17:20,61.65:59,7.06:8,48.85:47,35.05:29,12.58:14,38.77:41,36.09:33,39.07:42,54.39:50,17.84:18,36.7:45,7.91:8,57.21:57,38.88:45,38.77:41,19.39:21,40.34:41,58.04:57,56.51:53,32.73:25,40.46:31,40.13:34,39.53:42,51.5:56,12.81:15,41.0:31,68.14:74,38.49:45,36.54:38,37.01:35,26.75:29,16.2:17,54.82:57,32.32:38,35.33:38,54.02:50,54.68:52,27.19:30,59.56:57,24.03:27,34.09:39,33.36:35,89.83:92,43.72:35,52.08:41,51.95:44,23.39:23,63.94:62,36.47:38
27.68:21,43.19:49,36.66:38,18.35:19,18.45:20,14.39:16,21.22:20,29.32:26,21.19:23,17.11:17,0.34:1,27.01:29,0:0,30.33:34,16.87:17,14.23:15,15.72:16,48.27:48,43.12:48,14.52:16,43.05:46,34.96:27,45.26:52,3.25:4,0.08:0,23.52:25,32.43:22,32.41:36,24.33:18,38.76:46,34.96:27,19.92:24,19.01:19,29.85:22,43.14:49,44.6:36,21.29:22,39.0:42,33.99:37,26.2:30,50.84:40,17.3:18,19.53:25,53.23:44,32.45:24,44.75:32,44.54:43,36.46:29,26.09:26,34.56:39,36.41:28,19.53:25,21.54:23,30.69:23,35.39:39,46.86:35,44.74:34,44.4:36,54.04:42,18.92:25,26.19:29,17.18:18,45.34:37,42.83:48,17.37:22,27.19:20,32.55:24,21.28:20,23.63:25,28.37:30,27.62:23,13.95:15,44.38:32,45.04:34,0.52:2,36.92:39,24.47:22,29.85:22,8.54:9,73.63:65,49.1:36,41.72:30,45.45:34,24.83:26,41.29:45,27.12:20
14.15:18,28.63:31,51.67:45,42.79:46,41.7:40,15.8:18,30.09:29,22.37:25,26.4:29,41.19:39,29.99:34,52.95:51,30.0:33,0:0,41.81:40,19.21:24,43.45:46,59.49:51,29.11:28,18.8:24,13.7:15,20.0:20,17.72:21,30.97:33,30.08:34,51.25:54,11.35:11,20.38:22,20.69:18,15.17:15,20.0:20,12.17:14,37.56:32,30.61:24,28.59:31,45.37:38,37.44:33,9.65:10,59.6:59,4.39:6,51.61:42,41.03:39,12.2:14,54.0:47,24.99:28,16.79:18,68.03:56,21.02:21,53.82:55,5.21:8,25.24:26,12.2:14,51.98:54,13.4:16,6.04:8,9.78:10,45.5:36,45.17:38,54.81:44,13.98:16,15.16:16,41.26:39,46.1:39,28.28:30,14.28:16,14.48:18,33.31:26,29.98:29,40.78:37,29.01:32,23.98:23,16.03:18,20.83:19,21.49:20,30.12:34,7.56:8,38.22:33,30.61:24,23.83:26,87.15:74,49.87:39,42.48:33,46.21:37,40.1:37,11.93:13,14.58:19
25.53:26,58.19:63,20.45:22,5.76:9,2.24:4,22.61:23,15.2:18,22.53:29,37.43:38,0.9:2,16.85:17,13.49:16,16.86:17,41.48:40,0:0,29.23:29,12.52:15,32.06:33,58.12:62,29.53:30,51.49:51,24.81:33,58.23:58,13.67:13,16.94:17,17.33:18,30.58:29,47.42:49,22.12:23,55.68:52,24.81:33,28.22:32,5.02:7,22.6:28,58.15:62,23.96:26,6.68:9,50.16:47,20.14:23,37.35:35,27.23:28,1.09:2,27.28:30,29.74:32,27.58:30,42.9:38,28.33:28,25.21:34,19.01:19,45.72:45,27.39:33,27.28:30,21.16:23,28.84:30,46.55:45,45.02:41,25.17:24,32.91:30,32.31:33,28.04:30,41.2:43,0.97:2,33.45:30,57.84:61,25.59:30,25.05:26,23.81:27,15.25:18,7.5:10,44.61:44,20.82:26,22.43:23,42.53:39,43.19:40,16.99:17,48.07:45,12.54:15,22.6:28,22.58:21,89.87:80,36.17:34,34.77:35,38.5:39,10.21:13,52.44:50,24.98:26
18.26:23,29.23:34,54.43:47,31.26:34,31.27:34,11.53:14,30.33:30,32.85:30,10.31:14,29.92:31,13.63:15,39.92:43,14.08:17,18.22:23,29.68:31,0:0,28.63:30,62.26:54,29.16:33,0.29:0,32.26:36,28.5:28,31.3:37,16.16:18,14.0:16,36.43:39,19.85:19,18.46:20,27.85:23,24.8:30,28.5:28,8.94:9,28.12:30,33.38:27,29.18:33,48.13:41,30.4:32,28.21:32,46.91:52,17.33:20,54.37:44,30.12:32,16.31:19,56.76:49,35.97:29,33.64:30,57.36:57,29.99:30,39.0:40,21.29:25,33.74:34,16.31:19,35.05:39,21.9:24,22.24:27,27.57:29,48.26:39,47.93:40,57.57:47,17.58:21,12.23:14,29.99:31,48.87:42,28.88:32,16.16:18,18.59:23,36.07:29,30.39:31,33.75:37,16.06:18,31.14:27,11.8:15,33.27:30,33.93:32,13.35:15,26.13:29,33.58:33,33.38:27,12.89:15,70.59:68,52.63:41,45.24:35,48.98:39,33.94:37,30.5:35,18.69:24
35.77:32,56.83:62,33.05:34,6.52:5,13.33:16,27.53:28,28.41:27,37.35:36,35.97:37,11.99:14,15.39:16,11.79:14,15.4:16,43.47:45,11.96:14,27.87:28,0:0,44.67:44,56.76:61,28.16:29,61.73:56,43.35:38,60.22:64,12.18:11,15.48:16,8.31:9,40.82:34,46.06:48,32.36:29,52.4:58,43.35:38,33.14:36,16.44:20,43.0:34,56.78:61,36.57:38,18.11:22,52.15:53,18.78:22,39.34:41,39.84:39,12.18:14,37.51:35,42.35:43,45.6:36,53.14:44,29.55:32,40.03:41,10.87:10,47.7:51,42.21:41,37.51:35,9.04:9,39.08:35,48.53:51,55.25:46,37.78:35,45.52:41,44.92:44,38.27:36,39.83:42,12.06:14,46.06:42,56.48:60,30.51:34,35.29:31,37.27:37,28.47:27,20.11:22,43.15:43,35.64:33,27.1:27,52.77:44,53.43:45,15.53:16,50.06:51,23.97:28,43.0:34,21.69:21,78.67:78,48.78:45,54.87:42,58.6:46,21.64:26,54.43:56,35.22:31
44.1:39,84.56:78,11.52:13,38.04:38,31.48:30,50.37:49,32.79:32,36.43:36,74.77:61,32.53:32,49.55:49,35.69:31,49.55:49,59.76:51,33.29:34,63.36:54,44.8:45,0:0,84.49:77,63.66:54,69.54:58,38.71:40,76.51:70,46.37:45,49.64:49,43.3:40,48.86:41,73.79:65,40.75:36,73.95:64,38.71:40,52.34:50,33.01:31,34.2:33,84.52:78,13.97:17,30.33:28,69.13:57,33.41:29,55.63:47,8.76:11,32.38:32,45.85:42,7.61:9,35.98:37,51.52:46,26.86:26,39.11:41,43.59:40,63.99:57,39.77:39,45.85:42,55.07:53,47.12:41,64.82:57,63.29:53,14.44:16,22.83:22,7.94:8,46.61:43,67.57:58,32.6:32,23.37:23,84.21:77,47.86:47,43.62:38,28.4:28,32.94:33,27.57:27,71.73:69,34.72:33,50.61:49,53.78:49,52.56:46,49.68:50,66.35:57,30.34:30,34.2:33,53.11:42,125.94:100,26.87:26,32.85:32,32.73:35,28.86:28,73.19:61,43.55:39
39.28:44,1.17:2,76.8:71,59.76:65,59.77:65,35.47:41,55.22:55,47.5:51,25.45:30,58.42:62,42.13:47,68.42:75,42.58:48,29.1:28,0:0,0:0,0:0,0:0,0:0,29.13:33,30.95:28,45.13:46,16.61:17,44.66:49,42.5:48,64.93:70,36.48:37,10.71:12,45.82:44,14.3:15,45.13:46,29.72:32,62.69:58,55.74:50,1.13:2,70.49:64,62.57:59,27.06:24,75.4:83,32.84:32,76.74:68,58.62:63,37.33:40,79.13:73,50.12:54,49.24:42,93.16:82,49.15:47,67.5:71,26.24:27,50.37:52,37.33:40,63.55:70,38.53:42,25.14:25,32.55:32,70.63:62,75.74:59,79.94:71,39.1:43,16.93:19,58.49:63,72.29:57,0.82:1,38.22:41,39.61:44,58.44:53,55.11:55,65.91:63,19.65:23,49.11:49,35.74:41,43.15:40,43.61:38,41.85:46,21.55:20,63.35:59,55.74:50,41.39:46,64.86:58,72.05:56,64.66:50,68.39:54,65.23:63,29.34:27,39.71:45
17.97:22,28.94:33,54.9:47,31.73:34,31.74:34,11.86:14,30.81:31,33.33:31,10.78:14,30.4:31,14.1:16,40.39:44,14.55:17,17.92:22,30.16:31,1.23:2,29.11:31,62.73:54,28.87:32,0:0,31.97:36,28.2:27,31.01:36,16.63:18,14.47:17,36.91:39,19.56:18,18.17:20,28.33:23,24.51:30,28.2:27,8.65:9,28.6:30,33.85:27,28.89:33,48.6:41,30.88:33,27.92:31,47.38:52,17.03:19,54.84:45,30.59:32,16.02:18,57.23:49,36.45:29,33.35:29,57.83:57,29.7:30,39.48:40,21.0:24,33.45:34,16.02:18,35.52:39,21.6:23,21.95:26,27.28:29,48.74:39,48.4:41,58.05:47,17.29:20,11.94:13,30.47:32,49.34:42,28.59:32,15.86:18,18.29:23,36.55:29,30.86:31,34.22:37,15.76:17,31.62:28,12.13:15,32.97:29,33.64:31,13.82:15,25.83:29,34.05:33,33.85:27,13.37:15,71.07:68,53.1:41,45.72:35,49.45:39,34.41:37,30.2:34,18.4:23
